City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,20.14,90,100,2.03,ZA,1730670566
83,boguchany,58.3814,97.4531,-6.53,67,94,1.63,RU,1730670568
84,nar'yan-mar,67.6713,53.087,-2.24,84,100,6.17,RU,1730670569
85,ancud,-41.8697,-73.8203,9.9,83,13,7.47,CL,1730670570
86,yaren,-0.5472,166.916,28.18,66,69,1.69,NR,1730670571
87,magadan,59.5667,150.8,-11.44,71,54,5.07,RU,1730670572
88,perevolotskiy,51.8763,54.1938,-2.51,76,28,3.21,RU,1730670573
89,enewetak,11.3474,162.3373,28.37,74,88,2.28,MH,1730670575
90,yellowknife,62.456,-114.3525,-1.99,99,100,4.12,CA,1730670576
91,udachny,66.4167,112.4,-29.23,100,80,1.95,RU,1730670577
92,caleta de carquin,-11.0925,-77.6267,19.89,80,45,5.02,PE,1730670578
93,tazacorte,28.629,-17.9293,21.54,88,20,3.58,ES,1730670579
94,gucheng chengguanzhen,32.266,111.6348,18.41,37,95,2.33,CN,1730670581
95,camabatela,-8.1881,15.375,16.61,96,98,1.17,AO,1730670582
96,iqaluit,63.7506,-68.5145,-9.15,85,75,3.6,CA,1730670584
97,santa ana,33.7456,-117.8678,23.8,45,20,4.63,US,1730670327
98,bilibino,68.0546,166.4372,-24.93,98,59,2.63,RU,1730670587
99,avarua,-21.2078,-159.775,27.03,69,56,6.17,CK,1730670588
100,presidente epitacio,-21.7633,-52.1156,25.96,72,90,3.92,BR,1730670589
101,labasa,-16.4167,179.3833,28.96,68,67,0.6,FJ,1730670590
102,patrocinio,-18.9439,-46.9925,18.58,95,100,2.83,BR,1730670591
103,hadibu,12.65,54.0333,26.25,79,22,1.45,YE,1730670593
104,invercargill,-46.4,168.35,13.9,65,99,6.71,NZ,1730670594
105,beyneu,45.3167,55.2,6.63,62,100,8.6,KZ,1730670596
106,totness,5.8833,-56.3167,27.53,81,62,4.86,SR,1730670597
107,pyt-yakh,60.7499,72.8582,-1.91,68,100,8.7,RU,1730670598
108,alice springs,-23.7,133.8833,28.75,26,100,4.63,AU,1730670600
109,usinsk,65.9939,57.5281,-2.1,95,100,10.04,RU,1730670601
110,wailua homesteads,22.0669,-159.378,27.44,78,40,6.17,US,1730670602
111,pangody,65.85,74.4859,-3.32,94,97,8.79,RU,1730670603
112,longyearbyen,78.2186,15.6401,-1.09,74,75,6.17,SJ,1730670604
113,el nido,11.1858,119.3956,25.64,97,100,3.59,PH,1730670606
114,mili,6.0815,171.735,27.98,75,100,2.35,MH,1730670607
115,lompoc,34.6391,-120.4579,20.29,51,0,7.2,US,1730670608
116,olinda,-8.0089,-34.8553,26.85,69,40,6.17,BR,1730670609
117,sirjan,29.452,55.6814,17.34,38,0,1.4,IR,1730670610
118,karachi,24.9056,67.0822,24.9,83,0,2.06,PK,1730670612
119,talnakh,69.4865,88.3972,-10.98,78,96,5.24,RU,1730670613
120,dunedin,-45.8742,170.5036,9.89,82,99,1.34,NZ,1730670614
121,mersa matruh,31.3525,27.2453,22.11,68,40,4.63,EG,1730670615
122,aykol,38.1751,77.2132,9.49,39,0,1.15,CN,1730670616
123,megion,61.0296,76.1136,-0.99,71,80,9.82,RU,1730670617
124,port lincoln,-34.7333,135.8667,15.0,70,0,0.91,AU,1730670619
125,kota,25.1833,75.8333,23.82,34,0,2.12,IN,1730670620
126,dalandzadgad,43.5708,104.425,1.25,52,100,2.64,MN,1730670621
127,isafjordur,66.0755,-23.124,4.73,98,100,5.85,IS,1730670622
128,tevriz,57.509,72.4042,-0.68,59,54,5.41,RU,1730670625
129,urucui,-7.2294,-44.5561,31.6,34,44,1.66,BR,1730670626
130,kuhmo,64.1333,29.5167,-2.4,70,8,4.1,FI,1730670627
131,eregli,37.5133,34.0467,8.24,58,94,2.37,TR,1730670628
132,kerikeri,-35.2268,173.9474,17.3,45,5,0.98,NZ,1730670629
133,plettenberg bay,-34.0527,23.3716,15.01,88,100,5.51,ZA,1730670631
134,kingston,17.997,-76.7936,27.53,83,75,4.12,JM,1730670632
135,jajpur,20.85,86.3333,22.03,77,8,1.36,IN,1730670633
136,whitehorse,60.7161,-135.0538,3.43,74,75,7.2,CA,1730670337
137,haiku-pauwela,20.9219,-156.3051,28.47,72,62,13.86,US,1730670635
138,bagnols-sur-ceze,44.1599,4.6178,8.92,100,5,1.03,FR,1730670637
139,al mahwit,15.4701,43.5448,14.0,77,0,0.2,YE,1730670638
140,puerto ayora,-0.7393,-90.3518,21.61,67,26,5.86,EC,1730670639
141,sola,-13.8833,167.55,27.37,83,75,2.06,VU,1730670640
142,metlili chaamba,32.2667,3.6333,18.52,72,75,4.12,DZ,1730670641
143,freetown,8.484,-13.2299,26.2,85,60,2.91,SL,1730670642
144,kodiak,57.79,-152.4072,5.73,52,0,7.2,US,1730670644
145,kolonia,50.9333,6.95,8.26,87,0,2.57,DE,1730670645
146,qaqortoq,60.7167,-46.0333,-0.59,82,100,1.29,GL,1730670646
147,halifax,44.6453,-63.5724,4.08,64,15,2.68,CA,1730670374
148,ilulissat,69.2167,-51.1,-2.99,63,100,9.26,GL,1730670648
149,carnarvon,-24.8667,113.6333,19.99,78,17,5.89,AU,1730670649
150,aswan,24.0934,32.907,21.61,32,0,0.0,EG,1730670651
151,morehead city,34.7229,-76.726,17.23,76,100,5.36,US,1730670652
152,pont rouge,48.8833,-72.0825,0.71,64,52,2.11,CA,1730670653
153,chehalis,46.662,-122.964,12.82,76,0,3.09,US,1730670622
154,ponta delgada,37.7333,-25.6667,19.4,77,40,3.6,PT,1730670658
155,ulladulla,-35.35,150.4667,17.03,74,100,1.55,AU,1730670659
156,sibolga,1.7427,98.7792,24.2,87,100,1.23,ID,1730670660
157,tibiri,13.5627,7.0485,25.54,22,32,4.53,NE,1730670661
158,talata mafara,12.5732,6.0597,23.91,23,55,3.72,NG,1730670663
159,tolanaro,-25.0319,46.9987,24.04,88,40,8.23,MG,1730670665
160,myrina,39.8797,25.0742,13.58,58,20,4.63,GR,1730670666
161,punta arenas,-53.15,-70.9167,11.06,58,75,6.69,CL,1730670667
162,badger,64.8,-147.5333,-4.07,82,100,1.54,US,1730670670
163,margaret river,-33.95,115.0667,12.14,77,11,0.72,AU,1730670671
164,zhalantun,48.0,122.7167,-4.47,51,9,3.25,CN,1730670672
165,ghadamis,30.1337,9.5007,23.42,35,81,3.65,LY,1730670673
166,muang khong,14.1167,105.85,21.59,96,93,0.99,LA,1730670674
167,road town,18.4167,-64.6167,29.02,79,40,1.54,VG,1730670676
168,igarka,67.4667,86.5833,-5.12,93,100,14.47,RU,1730670677
169,stanley,54.868,-1.6985,9.01,93,75,1.54,GB,1730670678
170,bayganin,48.6947,55.8742,-0.46,63,47,3.52,KZ,1730670679
171,al khaburah,23.9886,57.0984,27.51,51,0,1.41,OM,1730670680
172,madimba,-10.4,40.3333,25.06,84,5,2.96,TZ,1730670682
173,savonlinna,61.8699,28.88,-0.97,86,20,4.12,FI,1730670683
174,baardheere,2.3446,42.2764,26.59,73,22,4.53,SO,1730670684
175,bondo,3.8146,23.6866,21.04,96,91,0.44,CD,1730670685
176,shimoda,34.6667,138.95,17.74,69,0,1.18,JP,1730670686
177,emerald,-23.5333,148.1667,22.97,71,38,3.96,AU,1730670687
178,romblon,12.5751,122.2708,27.38,82,100,6.8,PH,1730670689
179,dedovichi,57.5517,29.9502,0.42,97,100,7.51,RU,1730670690
180,nemuro,43.3236,145.575,7.44,85,100,5.54,JP,1730670691
181,rongelap,11.1635,166.8941,28.22,75,100,0.47,MH,1730670692
182,ebon,4.582,168.6964,28.49,72,94,5.08,MH,1730670693
183,oranjemund,-28.55,16.4333,14.48,92,77,5.14,NA,1730670695
184,kamwenge,0.1866,30.4539,16.68,94,88,0.22,UG,1730670696
185,kapa'a,22.0752,-159.319,28.18,78,40,6.17,US,1730670697
186,puerto princesa,9.7392,118.7353,26.99,83,100,2.06,PH,1730670698
187,bonthe,7.5264,-12.505,26.15,85,47,1.79,SL,1730670699
188,tambopata,-12.7333,-69.1833,33.94,46,20,3.09,PE,1730670700
189,ti port-de-paix,19.9333,-72.8333,27.13,80,38,2.28,HT,1730670702
190,jodhpur,26.2867,73.03,26.19,31,0,3.46,IN,1730670703
191,khlevnoye,52.1951,39.0932,0.56,68,100,5.2,RU,1730670704
192,atafu village,-8.5421,-172.5159,28.2,73,53,3.65,TK,1730670705
193,zalec,46.2515,15.1648,3.64,92,37,0.87,SI,1730670706
194,malango,-2.9627,119.9001,18.6,98,96,0.91,ID,1730670707
195,acajutla,13.5928,-89.8275,28.13,70,83,1.76,SV,1730670423
196,masterton,-40.9597,175.6575,14.0,44,72,1.2,NZ,1730670617
197,labuan,5.2767,115.2417,24.2,100,40,1.03,MY,1730670711
198,berezovskiy,55.6,86.2,4.98,92,100,5.22,RU,1730670712
199,severo-yeniseyskiy,60.3725,93.0408,-2.39,93,100,3.26,RU,1730670713
200,fale old settlement,-9.3852,-171.2468,28.02,76,66,3.63,TK,1730670716
201,tsiombe,-25.3,45.4833,23.15,84,27,7.7,MG,1730670717
202,balsas,-7.5325,-46.0356,33.74,28,53,2.14,BR,1730670718
203,ushuaia,-54.8,-68.3,9.81,66,20,8.23,AR,1730670719
204,namibe,-15.1961,12.1522,19.68,83,77,1.84,AO,1730670721
205,marsabit,2.3284,37.9899,21.94,53,70,4.79,KE,1730670722
206,gadzhiyevo,69.2551,33.3362,2.59,70,100,11.76,RU,1730670723
207,vadso,70.0744,29.7487,0.09,80,20,8.75,NO,1730670724
208,colonia,50.9333,6.95,8.26,87,0,2.57,DE,1730670706
209,jinji,23.2281,110.8261,19.69,92,100,1.22,CN,1730670726
210,bontang,0.1333,117.5,24.8,92,100,3.3,ID,1730670728
211,naze,28.3667,129.4833,23.51,74,28,3.71,JP,1730670729
212,west plains,36.7281,-91.8524,17.46,94,100,4.63,US,1730670730
213,grand falls-windsor,48.9332,-55.6649,0.84,66,76,1.79,CA,1730670731
214,loa janan,-0.583,117.095,23.04,99,100,0.63,ID,1730670732
215,kribi,2.95,9.9167,25.83,87,100,2.63,CM,1730670733
216,al muwayh,22.4333,41.7583,23.9,64,4,2.91,SA,1730670735
217,hedaru,-4.5,37.9,22.04,79,22,1.83,TZ,1730670737
218,capitan bado,-23.2667,-55.5333,22.59,88,100,1.07,PY,1730670738
219,ndele,8.4109,20.6473,22.92,86,100,0.86,CF,1730670739
220,hau-ri,41.2006,129.4703,7.97,64,76,1.85,KP,1730670741
221,oebisfelde,52.4333,10.9833,4.46,78,71,2.12,DE,1730670742
222,lionel town,17.8101,-77.2406,28.42,72,33,3.38,JM,1730670743
223,kill devil hills,36.0307,-75.676,16.1,68,40,5.14,US,1730670744
224,klyuchi,52.2667,79.1667,8.21,71,35,8.58,RU,1730670745
225,el quebrachal,-25.2833,-64.0667,26.4,63,38,0.96,AR,1730670746
226,arawa,-6.2132,155.5367,29.14,73,23,0.69,PG,1730670748
227,cedeira,43.6797,-8.0209,13.32,1,2,2.53,ES,1730670749
228,fortuna,40.5982,-124.1573,15.19,74,20,7.72,US,1730670750
229,aksu,41.1231,80.2644,8.44,48,0,0.72,CN,1730670751
230,port elizabeth,-33.918,25.5701,16.84,90,0,5.14,ZA,1730670752
231,bikenibeu village,1.3673,173.1241,28.98,79,40,0.0,KI,1730670753
232,la peca,-5.6111,-78.435,28.36,48,100,0.77,PE,1730670755
233,touros,-5.1989,-35.4608,25.14,74,88,6.44,BR,1730670756
234,vapnyarka,48.5348,28.7436,2.75,73,84,5.99,UA,1730670757
235,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,57,0,3.0,RU,1730670758
236,smithers,54.7804,-127.1743,6.18,70,75,1.54,CA,1730670602
237,shwebo,22.5667,95.7,22.41,93,0,2.16,MM,1730670761
238,nova vicosa,-17.8919,-39.3719,24.16,82,100,3.51,BR,1730670762
239,uacu cungo,-11.3634,15.1208,17.57,97,100,1.09,AO,1730670763
240,timmins,48.4669,-81.3331,6.9,70,75,3.09,CA,1730670764
241,calvinia,-31.4707,19.776,10.66,59,100,3.22,ZA,1730670765
242,trinidad,-14.8333,-64.9,31.99,66,75,2.06,BO,1730670766
243,svobodnyy,51.4,128.1333,-6.07,88,100,5.25,RU,1730670768
244,bratsk,56.1325,101.6142,-9.73,54,54,1.55,RU,1730670769
245,la'ie,21.6477,-157.9253,28.66,76,17,0.89,US,1730670770
246,farafangana,-22.8167,47.8333,23.47,89,8,2.31,MG,1730670771
247,afaahiti,-17.75,-149.2833,24.78,65,10,1.45,PF,1730670772
248,xihe,31.6864,113.4659,18.12,47,47,3.45,CN,1730670773
249,makubetsu,45.3714,141.8211,4.25,93,100,5.97,JP,1730670775
250,wanganui,-39.9333,175.05,12.78,48,79,3.99,NZ,1730670776
251,keflavik,64.0049,-22.5624,10.24,100,100,12.86,IS,1730670777
252,monte patria,-30.6919,-70.9467,20.07,32,0,3.43,CL,1730670778
253,kismayo,-0.3582,42.5454,26.24,85,5,4.35,SO,1730670779
254,gwanda,-20.9333,29.0,23.88,27,2,3.44,ZW,1730670781
255,crescent city,41.756,-124.2018,14.42,77,0,6.17,US,1730670782
256,susanville,40.4163,-120.653,10.46,44,27,3.13,US,1730670700
257,maamba,-17.3667,27.15,26.47,39,19,1.47,ZM,1730670784
258,st. john's,47.5649,-52.7093,2.93,75,75,3.6,CA,1730670785
259,college,64.8569,-147.8028,-4.03,83,75,1.54,US,1730670788
260,chegdomyn,51.1167,133.0167,-3.67,96,100,0.53,RU,1730670789
261,sirte,31.2089,16.5887,20.94,66,20,3.81,LY,1730670790
262,saudarkrokur,65.7461,-19.6394,9.21,85,100,8.36,IS,1730670791
263,calp,38.6447,0.0445,17.04,87,16,4.57,ES,1730670794
264,ola,59.5833,151.2833,-11.74,73,58,5.5,RU,1730670795
265,nili,33.7218,66.1302,9.97,40,1,1.26,AF,1730670796
266,geraldton,-28.7667,114.6,17.23,67,100,3.6,AU,1730670696
267,saint andrews,34.0454,-81.1293,20.85,47,100,5.14,US,1730670798
268,san antonio de pale,-1.4014,5.6325,25.61,82,45,4.88,GQ,1730670800
269,tura,25.5198,90.2201,19.46,89,0,1.65,IN,1730670801
270,weligama,5.9667,80.4167,24.72,88,100,1.32,LK,1730670802
271,porto velho,-8.7619,-63.9039,27.03,78,40,2.06,BR,1730670803
272,tanjung selor,2.8372,117.3642,22.99,98,88,1.02,ID,1730670804
273,lambarene,-0.7001,10.2406,23.92,97,100,1.74,GA,1730670806
274,machico,32.7,-16.7667,22.23,76,40,6.69,PT,1730670807
275,yasnyy,51.0333,59.8742,-2.42,73,47,4.01,RU,1730670808
276,askoy,60.4092,5.226,10.16,93,75,1.54,NO,1730670809
277,polyarnyy,69.1989,33.4478,2.62,70,100,11.9,RU,1730670810
278,puerto ayacucho,5.6639,-67.6236,28.71,75,92,1.52,VE,1730670811
279,kone,-21.0595,164.8658,27.49,48,96,1.46,NC,1730670813
280,kailua-kona,19.6406,-155.9956,27.98,81,75,4.12,US,1730670814
281,mastic beach,40.7668,-72.8521,10.16,60,16,2.54,US,1730670816
282,mombris,50.0667,9.1667,5.35,94,7,1.51,DE,1730670817
283,crane,31.3974,-102.3501,26.59,18,0,3.24,US,1730670819
284,tripoli,32.8752,13.1875,20.92,65,1,3.1,LY,1730670820
285,necochea,-38.5473,-58.7368,17.4,40,98,7.93,AR,1730670821
286,kaa-khem,51.6833,94.7333,-5.14,67,27,1.89,RU,1730670822
287,bovalino,38.149,16.174,14.61,81,43,2.21,IT,1730670823
288,luderitz,-26.6481,15.1594,15.43,66,33,9.25,NA,1730670824
289,puerto baquerizo moreno,-0.9,-89.6,24.55,65,40,6.69,EC,1730670826
290,susuman,62.7833,148.1667,-22.62,98,100,1.43,RU,1730670827
291,camocim,-2.9022,-40.8411,26.25,73,30,10.45,BR,1730670828
292,rabak,13.1809,32.74,27.71,19,31,5.71,SD,1730670829
293,svetlogorsk,52.6333,29.7333,5.56,46,100,9.83,BY,1730670830
294,port alfred,-33.5906,26.891,17.88,91,65,1.34,ZA,1730670833
295,minas de marcona,-15.2119,-75.1103,16.27,73,11,7.74,PE,1730670687
296,bam,29.106,58.357,24.35,30,0,3.34,IR,1730670836
297,bel air north,39.5543,-76.3731,12.83,44,78,0.89,US,1730670838
298,melekeok village,7.4957,134.6367,26.31,89,75,4.63,PW,1730670839
299,somero,60.6167,23.5333,0.25,81,96,4.78,FI,1730670840
300,nuuk,64.1835,-51.7216,-3.66,74,75,4.12,GL,1730670841
301,lankaran,38.7543,48.8506,12.04,100,100,4.12,AZ,1730670842
302,sinazongwe,-17.2614,27.4618,27.73,49,8,0.7,ZM,1730670843
303,mana,5.6592,-53.7767,27.3,83,53,5.06,GF,1730670845
304,yuza,39.0,139.9167,10.49,65,0,3.45,JP,1730670846
305,nadvoitsy,63.8667,34.3167,-4.0,81,17,3.88,RU,1730670847
306,ketchikan,55.3422,-131.6461,8.26,87,100,5.66,US,1730670848
307,mount pearl,47.5166,-52.7813,2.47,72,75,3.6,CA,1730670849
308,yuto,-23.6434,-64.4719,25.79,83,100,1.27,AR,1730670850
309,santana,-0.0583,-51.1817,30.1,74,0,6.17,BR,1730670852
310,lorengau,-2.0226,147.2712,28.02,80,23,3.07,PG,1730670853
311,taksimo,56.3444,114.8794,-8.93,92,100,1.21,RU,1730670854
312,troitsko-pechorsk,62.7084,56.1964,-3.33,91,100,6.83,RU,1730670855
313,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1730670856
314,alofi,-19.0595,-169.9187,27.94,74,75,4.12,NU,1730670858
315,sitangkai,4.6628,119.3928,27.51,81,100,4.37,PH,1730670859
316,saldanha,-33.0117,17.9442,14.03,70,100,7.56,ZA,1730670860
317,tofol,5.3248,163.0078,27.65,77,100,7.54,FM,1730670861
318,conceicao da barra,-18.5933,-39.7322,23.24,85,97,2.15,BR,1730670862
319,saipan,15.1355,145.701,26.39,94,40,3.09,MP,1730670864
320,darwin,-12.4611,130.8418,27.75,83,20,0.0,AU,1730670673
321,labytnangi,66.6572,66.4183,-1.44,97,100,5.96,RU,1730670866
322,tanout,14.9709,8.8879,24.71,19,100,5.0,NE,1730670867
323,vorgashor,67.5833,63.95,-4.69,89,100,6.92,RU,1730670868
324,nalut,30.3333,10.85,20.65,43,1,5.11,LY,1730670869
325,caraguatatuba,-23.6338,-45.4899,20.49,100,100,0.95,BR,1730670871
326,tukrah,32.5341,20.5791,19.21,67,0,4.02,LY,1730670872
327,champerico,14.3,-91.9167,28.73,73,100,3.48,GT,1730670873
328,vanimo,-2.6741,141.3028,26.15,90,68,2.98,PG,1730670874
329,yuzhno-kurilsk,44.0306,145.8556,6.26,84,96,4.23,RU,1730670705
330,uturoa,-16.7333,-151.4333,25.85,66,4,1.72,PF,1730670878
331,tabou,4.423,-7.3528,25.43,88,6,2.74,CI,1730670879
332,yeppoon,-23.1333,150.7333,24.09,70,50,4.05,AU,1730670880
333,karaton,-6.3424,106.1045,21.63,98,100,0.97,ID,1730670881
334,aasiaat,68.7098,-52.8699,-8.21,87,93,0.93,GL,1730670883
335,broken hill,-31.95,141.4333,18.41,41,93,6.02,AU,1730670884
336,urucara,-2.5364,-57.76,33.87,32,19,1.49,BR,1730670885
337,wattegama,6.7989,81.4808,23.14,93,100,0.83,LK,1730670887
338,strugi-krasnyye,58.2675,29.1114,-0.11,96,100,6.97,RU,1730670888
339,anadyr,64.75,177.4833,-8.72,72,20,9.0,RU,1730670890
340,meadow lakes,61.6247,-149.6011,3.49,68,100,0.45,US,1730670891
341,khandud,36.9513,72.318,1.47,44,8,1.02,AF,1730670892
342,hoeryong,42.4428,129.7508,2.99,82,7,1.61,KP,1730670893
343,quellon,-43.1167,-73.6167,10.48,80,50,6.29,CL,1730670894
344,tongchuan,35.0806,109.0897,9.76,50,100,2.6,CN,1730670896
345,sechura,-5.5569,-80.8222,22.4,65,100,8.2,PE,1730670897
346,loukhi,66.0764,33.0381,-2.03,74,39,5.0,RU,1730670898
347,picui,-6.5106,-36.3469,24.37,60,20,10.14,BR,1730670899
348,da nang,16.0678,108.2208,22.99,94,75,0.51,VN,1730670902
349,ciudad lazaro cardenas,17.9583,-102.2,28.83,71,22,3.05,MX,1730670686
350,mahina,-17.5065,-149.489,28.87,58,0,3.6,PF,1730670904
351,shuangjiang,26.1547,109.7138,12.78,83,0,1.68,CN,1730670905
352,mejit,10.2753,170.8646,26.54,79,100,4.86,MH,1730670906
353,cerasu,45.3167,26.0333,2.84,78,16,2.02,RO,1730670907
354,greenville,35.6127,-77.3663,18.4,64,0,3.6,US,1730670909
355,port macquarie,-31.4333,152.9167,24.77,57,100,3.43,AU,1730670910
356,uniao da vitoria,-26.23,-51.0864,16.22,98,100,2.65,BR,1730670911
357,nouadhibou,20.931,-17.0347,19.13,89,0,7.36,MR,1730670912
358,kilkis,40.9919,22.8708,12.83,76,100,0.54,GR,1730670913
359,chateau-renault,47.5919,0.9114,9.86,99,5,3.22,FR,1730670915
360,yorkton,51.2167,-102.4677,6.91,81,75,2.06,CA,1730670916
361,toliara,-23.35,43.6667,24.51,80,0,1.61,MG,1730670917
362,taoudenni,22.6783,-3.9836,28.95,12,0,3.15,ML,1730670918
363,princeton,25.5384,-80.4089,27.23,82,25,3.58,US,1730670919
364,valenca do piaui,-6.4075,-41.7456,34.69,22,86,3.79,BR,1730670920
365,serenje,-13.2325,30.2352,19.36,68,4,1.81,ZM,1730670922
